tic_name            period       e_period     first_eclipse
tic00306507325     2.0118673     0.0000132     3356.045619
tic00306505222     7.0481241     0.0000268     3365.901213
tic00304171439     6.5169932     0.0007958     3545.246208
tic00304171422     6.5171671     0.0006240     3545.238706
tic00304024196     4.6298776     0.0005661     3547.898110
tic00303942000     2.4249634     0.0003110     3544.886566
tic00303868250     3.0304551     0.0001881     3571.452504
tic00303606662     1.5238641     0.0000456     3544.636889
tic00303540619     8.6684454     0.0006253     3546.615643
tic00303442568     8.5368000     0.1633000     3548.402000
tic00303439997     3.7069900     0.0008291     3574.220119
tic00303437815     1.5278632     0.0000497     3571.120550
tic00303363098     4.2596273     0.0000726     3546.899851
tic00303354413     1.9595995     0.0000386     3545.044645
tic00303314616    10.5559854     0.0007513     3549.326872
tic00303216804     4.6355662     0.0010001     3588.448382
tic00303212903     2.8041228     0.0009259     3546.343761
tic00303166525     1.4613127     0.0000378     3544.588978
tic00303161595     3.1184680     0.0001052     3544.288227
tic00303158703     6.5776536     0.0000615     3549.604997
tic00303095450     0.5164000     0.0017000     3544.784000
tic00303093237     1.6067966     0.0000356     3570.883716
tic00303090810    13.5325000     0.0207000     3549.270000
tic00303089265    14.5325000     0.1011000     3551.571000
tic00303087387     1.9688548     0.0000289     3544.243376
tic00303009105     7.5431704     0.0002146     3547.822751
tic00303003842     4.8565324     0.0009218     3548.744450
tic00303001226     5.1599576     0.0000736     3548.148971
tic00302999515     4.1881472     0.0000861     3545.937306
tic00302995864     0.6407181     0.0000137     3545.331873
tic00302995836     0.6407000     0.0008000     3544.317000
tic00302990273     5.7453762     0.0000646     3601.580512
tic00302990036     1.9890020     0.0000260     3606.511991
tic00302988499     3.1635313     0.0000299     3493.071914
tic00302799379    12.1283585     0.0114988     3579.550244
tic00302798327     1.7514487     0.0000452     3545.228955
tic00302657517     1.3301462     0.0000329     3544.392817
tic00302599843     7.0813290     0.0005400     3547.528680
tic00302599487     3.7566688     0.0001963     3545.230088
tic00302596771     4.6004041     0.0032908     3544.350255
tic00302594242     1.2623737     0.0000126     3544.691095
tic00302446396     1.2704603     0.0000602     3572.176988
tic00302445537     1.1857635     0.0000232     3545.135510
tic00302440870     0.9940000     0.0007000     3364.921000
tic00302373103     0.9027611     0.0000033     3545.004239
tic00302368221     3.0586461     0.0004503     3544.303460
tic00302366763     0.6203083     0.0000057     3544.435704
tic00302281618     3.3235973     0.0000082     3357.065854
tic00302278649     6.2843050     0.0000401     3548.061858
tic00302211116     4.1374000     0.0107000     3546.804000
tic00302137557    14.4871000     0.0234000     3357.680000
tic00302131328     1.1946248     0.0000045     3544.865626
tic00302131308     1.1946410     0.0000400     3544.880491
tic00302043038    16.6687000     0.0581000     3546.653000
tic00302038263     1.5472503     0.0000041     3354.915842
tic00302007714     4.4649000     0.0077000     3439.853000
tic00300871545     4.8170956     0.0000396     3365.911742
tic00300740040     0.9324877     0.0000017     3354.410084
tic00300707139     5.4358467     0.0000283     3355.200614
tic00300707137     5.4358131     0.0000747     3355.200614
tic00300654002     2.7581341     0.0000074     3355.710695
tic00300653838    15.3388000     0.0200000     3446.399000
tic00300652458     3.2585174     0.0000457     3354.347191
tic00300604775     3.4562751     0.0000491     3356.725845
tic00300604770     6.9126465     0.0001133     3360.177165
tic00300563153     3.0665320     0.0000836     3357.244339
tic00300559128     4.1731515     0.0000107     3356.680193
tic00300443908     1.5308051     0.0000148     3390.965704
tic00300379894     5.6862415     0.0000891     3358.143233
tic00300328191    29.8347687     0.0005974     3378.594121
tic00300324638     2.6413901     0.0000017     3355.463853
tic00300288448   215.3673000     0.1678000     3460.525000
tic00300244163     4.3604887     0.0000207     3359.142750
tic00300161053    13.3057235     0.0006168     3447.656141
tic00300141210     1.9288739     0.0000678     3439.485064
tic00300140867    22.8376000     0.0690000     3460.157000
tic00300140005     1.1370320     0.0000010     3354.833226
tic00300137123     2.2864977     0.0000031     3354.635204
tic00300091984     2.1638773     0.0000026     3355.152363
tic00300091249     1.9173231     0.0000022     3354.871480
tic00300086742     7.5430713     0.0000619     3358.010640
tic00300012172     1.4614555     0.0000109     3354.773691
tic00300011675     2.4766243     0.0000343     3355.114292
tic00299941037     2.6367094     0.0000641     3355.442493
tic00299939799     0.7855002     0.0000003     3354.756506
tic00295070274     2.2738740     0.0000320     3354.594515
tic00294785844    21.4824996     0.0001100     3365.339344
tic00294671852     1.4042871     0.0000014     3355.147482
tic00294327312     0.9185442     0.0000081     3354.617030
tic00294206429     1.0550756     0.0000079     3355.088768
tic00294092966     0.9022637     0.0000023     3354.438432
tic00294092960     0.9022576     0.0000036     3386.928347
tic00293347945    12.7921000     0.0156000     3387.180000
tic00293273040     4.9688022     0.0000215     3357.471508
tic00293268574    10.1340656     0.0003254     3359.154051
tic00287406591     5.3353698     0.0001874     3354.344034
tic00287351976     1.9219463     0.0000014     3354.978130
tic00287328866     2.0767913     0.0000130     3355.823347
tic00287326187     0.8630372     0.0000146     3386.516616
tic00279955276     0.5768687     0.0000052     3355.116537
tic00279952443    12.0528602     0.0006675     3449.635524
tic00279569718     3.9794100     0.0000147     3356.099926
tic00279569707     3.9794164     0.0000050     3356.105467
tic00279423828     5.6100059     0.0000840     3440.473872
tic00279323859     1.0799841     0.0000012     3355.358801
tic00279323857     1.0799847     0.0000013     3355.358915
tic00279251376    10.1489000     0.0148000     3361.587000
tic00279217728     8.7300424     0.0004933     3359.431813
tic00279090253     2.9963470     0.0000220     3357.859600
tic00278990501    12.4907668     0.0000300     3501.235743
tic00278990015     0.7108347     0.0000088     3438.865573
tic00278988794     7.5923877     0.0000382     3366.439520
tic00278958461    48.7405000     0.0741000     3400.465000
tic00278956474     5.4881124     0.0000988     3355.422681
